时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度()
 16:34:35.564,COM11,, 0.072, -0.064, -0.970, -0.183, 0.000, 0.000, 0.033, 0.066, 0.126, -384.944, 10.976, 51.646, 33.02,,,,,,,,,,,,
 16:34:35.575,COM11,, 0.066, -0.063, -0.970, -0.061, 0.122, -0.122, 0.033, 0.066, 0.143, -388.472, 11.466, 65.072, 33.02,,,,,,,,,,,,
 16:34:35.583,COM11,, 0.074, -0.060, -0.965, -0.061, -0.183, -0.183, 0.033, 0.066, 0.154, -391.216, 4.704, 72.030, 32.97,,,,,,,,,,,,
 16:34:35.595,COM11,, 0.071, -0.064, -0.968, -0.122, 0.000, -0.305, 0.033, 0.066, 0.154, -392.392, 5.488, 69.286, 33.03,,,,,,,,,,,,
 16:34:35.604,COM11,, 0.071, -0.064, -0.969, -0.183, 0.000, -0.366, 0.033, 0.066, 0.154, -390.040, 8.036, 75.460, 33.02,,,,,,,,,,,,
 16:34:35.614,COM11,, 0.068, -0.063, -0.966, -0.122, -0.183, -0.244, 0.033, 0.071, 0.154, -387.884, -0.588, 73.794, 33.03,,,,,,,,,,,,
 16:34:35.624,COM11,, 0.067, -0.063, -0.970, -0.183, 0.000, -0.122, 0.033, 0.066, 0.143, -378.966, -2.254, 70.070, 33.00,,,,,,,,,,,,
 16:34:35.634,COM11,, 0.069, -0.063, -0.968, -0.183, 0.061, 0.000, 0.033, 0.066, 0.132, -377.594, 0.392, 78.988, 33.03,,,,,,,,,,,,
 16:34:35.643,COM11,, 0.066, -0.060, -0.967, -0.122, -0.061, 0.000, 0.033, 0.066, 0.121, -381.710, -3.528, 79.086, 33.00,,,,,,,,,,,,
 16:34:35.654,COM11,, 0.068, -0.062, -0.971, -0.122, 0.000, 0.000, 0.033, 0.066, 0.110, -381.906, -2.842, 70.952, 33.03,,,,,,,,,,,,
 16:34:35.664,COM11,, 0.071, -0.062, -0.969, -0.183, 0.061, -0.061, 0.033, 0.060, 0.104, -386.022, -0.098, 68.698, 33.01,,,,,,,,,,,,
 16:34:35.673,COM11,, 0.068, -0.062, -0.969, -0.122, -0.061, -0.122, 0.033, 0.060, 0.093, -384.650, -2.744, 63.700, 33.07,,,,,,,,,,,,
