时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度()
 16:01:41.655,COM11, 2000-0-0 0:7:14.677, 0.125, -0.057, -0.955, 0.122, 0.000, -0.122, -0.038, 0.137, -0.011, -365.932, -40.474, 89.866, 31.21,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.670,COM11, 2000-0-0 0:7:14.697, 0.124, -0.059, -0.960, 0.122, 0.000, -0.122, -0.038, 0.137, 0.000, -368.480, -36.456, 87.906, 31.27,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.680,COM11, 2000-0-0 0:7:14.707, 0.119, -0.058, -0.966, 0.000, 0.000, 0.000, -0.038, 0.137, 0.011, -370.342, -36.358, 93.982, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.690,COM11, 2000-0-0 0:7:14.717, 0.124, -0.058, -0.967, -0.122, 0.000, 0.000, -0.038, 0.132, 0.016, -370.342, -40.572, 103.096, 31.24,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.700,COM11, 2000-0-0 0:7:14.727, 0.135, -0.055, -0.962, -0.061, -0.122, 0.000, -0.038, 0.126, 0.011, -370.636, -48.804, 100.940, 31.23,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.710,COM11, 2000-0-0 0:7:14.737, 0.127, -0.056, -0.958, -0.122, -0.061, -0.061, -0.038, 0.126, 0.000, -366.912, -45.374, 100.058, 31.19,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.720,COM11, 2000-0-0 0:7:14.747, 0.134, -0.054, -0.956, -0.061, 0.000, -0.061, -0.038, 0.126, 0.000, -367.892, -41.552, 108.584, 31.27,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.730,COM11, 2000-0-0 0:7:14.757, 0.133, -0.054, -0.961, 0.000, 0.000, 0.000, -0.038, 0.132, 0.000, -367.794, -44.492, 104.468, 31.24,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.740,COM11, 2000-0-0 0:7:14.767, 0.136, -0.057, -0.966, 0.061, 0.000, 0.061, -0.038, 0.132, -0.005, -364.560, -41.356, 98.882, 31.26,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.750,COM11, 2000-0-0 0:7:14.777, 0.129, -0.055, -0.968, 0.000, 0.061, 0.000, -0.038, 0.137, 0.000, -363.482, -40.768, 99.764, 31.24,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.760,COM11, 2000-0-0 0:7:14.787, 0.130, -0.058, -0.968, 0.000, 0.061, 0.061, -0.038, 0.143, -0.005, -364.462, -44.982, 97.216, 31.27,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.770,COM11, 2000-0-0 0:7:14.797, 0.128, -0.058, -0.965, -0.061, 0.000, 0.061, -0.038, 0.143, -0.011, -368.088, -44.786, 94.864, 31.23,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.780,COM11, 2000-0-0 0:7:14.807, 0.125, -0.057, -0.959, -0.122, 0.061, 0.000, -0.038, 0.143, -0.011, -371.518, -39.298, 104.566, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.789,COM11, 2000-0-0 0:7:14.817, 0.125, -0.054, -0.955, -0.061, -0.061, 0.000, -0.038, 0.143, -0.005, -372.400, -42.238, 104.664, 31.21,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.799,COM11, 2000-0-0 0:7:14.827, 0.124, -0.056, -0.958, 0.000, 0.000, 0.000, -0.038, 0.137, -0.005, -368.774, -42.238, 91.630, 31.26,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.809,COM11, 2000-0-0 0:7:14.837, 0.128, -0.057, -0.962, 0.000, 0.061, -0.061, -0.038, 0.137, 0.000, -367.108, -37.240, 82.614, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.819,COM11, 2000-0-0 0:7:14.847, 0.123, -0.058, -0.967, 0.000, 0.122, -0.061, -0.038, 0.137, 0.005, -366.128, -38.122, 81.144, 31.21,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.829,COM11, 2000-0-0 0:7:14.857, 0.132, -0.057, -0.966, 0.000, 0.000, 0.061, -0.038, 0.137, 0.011, -363.678, -40.866, 80.654, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.839,COM11, 2000-0-0 0:7:14.867, 0.129, -0.056, -0.966, 0.000, 0.061, 0.061, -0.038, 0.137, 0.016, -361.522, -41.258, 83.496, 31.17,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.849,COM11, 2000-0-0 0:7:14.877, 0.134, -0.058, -0.964, -0.061, 0.000, 0.000, -0.038, 0.137, 0.016, -360.150, -40.376, 93.492, 31.26,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.859,COM11, 2000-0-0 0:7:14.887, 0.132, -0.055, -0.959, -0.183, -0.183, -0.061, -0.044, 0.137, 0.016, -361.522, -39.200, 92.904, 31.23,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.869,COM11, 2000-0-0 0:7:14.897, 0.133, -0.053, -0.959, -0.061, -0.061, -0.183, -0.044, 0.143, 0.022, -363.482, -37.436, 90.552, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.879,COM11, 2000-0-0 0:7:14.907, 0.129, -0.055, -0.964, -0.061, 0.000, -0.183, -0.049, 0.148, 0.033, -366.716, -34.986, 91.728, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.889,COM11, 2000-0-0 0:7:14.917, 0.131, -0.056, -0.964, -0.061, 0.122, 0.000, -0.049, 0.148, 0.049, -368.872, -36.750, 97.608, 31.22,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.899,COM11, 2000-0-0 0:7:14.927, 0.126, -0.052, -0.962, 0.000, 0.061, -0.061, -0.055, 0.148, 0.044, -366.226, -43.316, 98.882, 31.25,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.909,COM11, 2000-0-0 0:7:14.937, 0.123, -0.059, -0.964, 0.061, 0.183, -0.122, -0.049, 0.154, 0.044, -367.206, -40.866, 101.332, 31.21,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.919,COM11, 2000-0-0 0:7:14.947, 0.132, -0.058, -0.962, -0.061, 0.061, -0.061, -0.049, 0.148, 0.044, -371.028, -44.492, 107.212, 31.26,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.929,COM11, 2000-0-0 0:7:14.957, 0.127, -0.058, -0.961, -0.061, 0.000, -0.061, -0.049, 0.148, 0.027, -370.636, -50.960, 100.744, 31.24,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.939,COM11, 2000-0-0 0:7:14.967, 0.129, -0.057, -0.959, 0.000, -0.061, -0.122, -0.044, 0.148, 0.016, -366.716, -46.648, 97.118, 31.28,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.949,COM11, 2000-0-0 0:7:14.977, 0.129, -0.058, -0.961, -0.183, 0.000, -0.061, -0.044, 0.148, 0.011, -364.952, -42.532, 98.686, 31.22,,,,, 0.000, 0.000, 0.000,,,,,
 16:01:41.961,COM11, 2000-0-0 0:7:14.987, 0.136, -0.055, -0.961, 0.000, 0.000, 0.000, -0.044, 0.148, 0.005, -366.128, -42.140, 93.100, 31.28,,,,, 0.000, 0.000, 0.000,,,,,
